Jop title,Company name,Location,Posted,Skills,links
QA Analyst - French Speakers,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",2 months ago,Full TimeRemoteExperienced / 1 - 4 Yrs of Exp / Quality / Analyst/Research / French / QA / Quality Assurance,https://wuzzuf.net/jobs/p/OpchPafKGSy4-QA-Analyst---French-Speakers-Teleperformance---Egypt-Cairo-Egypt
Senior Market Research Analyst,Adam Grain -,"New Cairo, Cairo, Egypt",23 days ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / Business Development / Marketing/PR/Advertising / Analyst/Research / Analyst / Market Research / Research analyst / Marketing,https://wuzzuf.net/jobs/p/YQsgYHrwZWVD-Senior-Market-Research-Analyst-Adam-Grain-Cairo-Egypt
Senior Software Business Analyst / ERP,Our Education -,"Nasr City, Cairo, Egypt",1 month ago,Full TimeOn-siteExperienced / 5 - 10 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Analysis / Management / Project Management / Software Development / Agile / business / Computer Science,https://wuzzuf.net/jobs/p/59tn4l5D4tFP-Senior-Software-Business-Analyst-ERP-Our-Education-Cairo-Egypt
Senior Business Analyst,CÆLUM Middle East -,"Zamalek, Cairo, Egypt",1 month ago,Full TimeHybridExperienced / 5+ Yrs of Exp / IT/Software Development / Analysis / analytical / Business Analysis / Computer Science / Information Technology (IT) / System Analysis / Engineering / Software / Data,https://wuzzuf.net/jobs/p/7gdFKZ8kNBBN-Senior-Business-Analyst-CÆLUM-Middle-East-Cairo-Egypt
Business Analyst,Confidential -,"Dokki, Giza, Egypt",16 days ago,Full TimeOn-siteExperienced / 3 - 7 Yrs of Exp / IT/Software Development / Analyst/Research / Business Analysis / business,https://wuzzuf.net/jobs/p/ZsaaWkk5wymh-Business-Analyst-Giza-Egypt
Credit Reporting & Data Analyst,Mantrac -,"Cairo, Egypt",2 months ago,Full TimeOn-siteExperienced / 2 - 5 Yrs of Exp / Accounting/Finance / Accounting / receivable accounting / Reporting Analysis / Credit Analysis / Microsoft Power BI / Finance,https://wuzzuf.net/jobs/p/rpcb58gnl2OD-Credit-Reporting-Data-Analyst-Mantrac-Cairo-Egypt
Data Analyst,BTC-Egypt Gold -,"Cairo, Egypt",2 months ago,Full TimeOn-siteEntry Level / 0 - 2 Yrs of Exp / Analyst/Research / analytical / Analysis / Data / Data Analysis / Data Analyst,https://wuzzuf.net/jobs/p/g4fDvv3B6adj-Data-Analyst-BTC-Egypt-Gold-Cairo-Egypt
Strategy Analyst,Transmar International  -,"New Cairo, Cairo, Egypt",23 days ago,Full TimeOn-siteEntry Level / 2 - 4 Yrs of Exp / Strategy/Consulting / Analyst / Analysis / Strategy,https://wuzzuf.net/jobs/p/rxScTJDbTezB-Strategy-Analyst-Transmar-International-Cairo-Egypt
Business Analyst,Cloud Continuum  -,"New Cairo, Cairo, Egypt",6 days ago,Full TimeOn-siteExperienced / 2 - 5 Yrs of Exp / IT/Software Development / Analyst / Business Analysis / Business Analyst / Communication skills / analytical / Project Management,https://wuzzuf.net/jobs/p/NX1srOp3hMFi-Business-Analyst-Cloud-Continuum-Cairo-Egypt
Business Analyst,Syad Tech -,"Cairo, Egypt",7 days ago,Full TimeRemoteExperienced / 3 - 5 Yrs of Exp / Analyst/Research / Analysis / Business Analysis / Data Management / Development / IT / Information Technology (IT) / Management / Reporting,https://wuzzuf.net/jobs/p/ExFDP9fn0Oan-Business-Analyst-Syad-Tech-Cairo-Egypt
